City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,caravelas,-17.7125,-39.2481,23.96,91,0,2.33,BR,1679447643
83,hermiston,45.8404,-119.2895,15.16,52,0,4.12,US,1679447402
84,ostrovnoy,68.0531,39.5131,-8.53,93,100,5.67,RU,1679447644
85,yellowknife,62.456,-114.3525,-9.13,56,37,4.02,CA,1679447644
86,saint-philippe,-21.3585,55.7679,24.77,85,65,3.62,RE,1679447645
87,chokurdakh,70.6333,147.9167,-25.02,95,100,8.6,RU,1679447645
88,borogontsy,62.6683,131.1683,-27.16,96,100,1.46,RU,1679447646
89,ouadda,8.0777,22.4007,21.2,64,47,1.0,CF,1679447646
90,kapaa,22.0752,-159.319,27.49,75,0,2.57,US,1679447647
91,puerto ayora,-0.7393,-90.3518,27.98,90,31,2.24,EC,1679447647
92,richards bay,-28.783,32.0377,23.9,91,100,3.76,ZA,1679447648
93,sabha,27.0377,14.4283,19.03,31,7,5.39,LY,1679447649
94,zalantun,48.0,122.7167,0.68,44,50,12.23,CN,1679447649
95,clyde river,70.4692,-68.5914,-26.75,81,3,2.39,CA,1679447650
96,kaitangata,-46.2817,169.8464,12.94,60,82,4.39,NZ,1679447650
97,east london,-33.0153,27.9116,18.95,65,61,2.78,ZA,1679447651
98,georgetown,5.4112,100.3354,26.96,94,20,0.0,MY,1679447443
99,penalva,-3.2942,-45.1736,23.2,92,100,0.55,BR,1679447652
100,poum,-20.2333,164.0167,26.37,70,100,3.34,NC,1679447653
101,qaanaaq,77.484,-69.3632,-13.9,56,0,3.88,GL,1679447653
102,avera,33.194,-82.5271,11.73,52,51,1.67,US,1679447654
103,san lorenzo,-25.3333,-57.5333,25.52,83,5,0.0,PY,1679447509
104,monrovia,6.3005,-10.7969,26.25,85,21,3.28,LR,1679447528
105,dali,25.7,100.1833,10.66,70,100,2.02,CN,1679447655
106,bella vista,36.4295,-94.2316,10.42,95,100,4.12,US,1679447384
107,tikrit,34.6071,43.6782,14.46,67,100,0.34,IQ,1679447656
108,alamosa,37.4695,-105.87,3.99,70,0,7.2,US,1679447657
109,fortuna,40.5982,-124.1573,12.19,82,75,0.89,US,1679447661
110,touros,-5.1989,-35.4608,25.47,77,89,0.59,BR,1679447661
111,lethem,3.3803,-59.7968,27.91,50,6,5.88,GY,1679447662
112,nome,64.5011,-165.4064,-2.96,86,100,5.66,US,1679447662
113,bonthe,7.5264,-12.505,24.99,87,27,2.7,SL,1679447663
114,wanning,18.8003,110.3967,26.36,78,100,6.2,CN,1679447663
115,torbay,47.6666,-52.7314,1.33,83,100,5.66,CA,1679447664
116,bereda,43.2686,-7.5406,9.21,99,100,1.92,ES,1679447664
117,praskoveya,44.7444,44.2031,8.18,90,51,2.48,RU,1679447665
118,norman wells,65.282,-126.8329,-3.84,90,97,2.57,CA,1679447665
119,nikolskoye,59.7035,30.7861,-1.06,91,41,2.54,RU,1679447666
120,ippy,6.2679,21.2247,22.59,64,90,1.15,CF,1679447666
121,talnakh,69.4865,88.3972,-5.44,92,100,8.26,RU,1679447667
122,hithadhoo,-0.6,73.0833,28.05,73,100,3.74,MV,1679447667
123,thompson,55.7435,-97.8558,-5.91,38,100,2.57,CA,1679447668
124,alofi,-19.0595,-169.9187,28.94,84,75,4.63,NU,1679447668
125,maihar,24.2667,80.75,20.0,63,13,0.45,IN,1679447669
126,broken hill,-31.95,141.4333,29.76,33,0,2.31,AU,1679447669
127,pokhara,28.2333,83.9833,13.12,73,13,1.44,NP,1679447669
128,mataura,-46.1927,168.8643,11.98,64,90,2.41,NZ,1679447670
129,machali,-34.1833,-70.6667,20.75,34,0,0.58,CL,1679447670
130,carnarvon,-24.8667,113.6333,25.46,70,86,5.44,AU,1679447671
131,santa barbara,34.7333,-120.0343,7.35,91,100,2.06,US,1679447375
132,karratha,-20.7377,116.8463,32.16,44,100,3.28,AU,1679447672
133,ribeira grande,38.5167,-28.7,16.54,96,100,5.81,PT,1679447672
134,sarakhs,36.5449,61.1577,15.7,31,100,2.82,IR,1679447673
135,lerwick,60.1545,-1.1494,8.0,96,68,7.09,GB,1679447673
136,portland,45.5234,-122.6762,16.56,48,20,7.2,US,1679447452
137,sorland,67.667,12.6934,-2.08,56,100,5.6,NO,1679447674
138,awjilah,29.1081,21.2869,21.99,14,100,4.61,LY,1679447674
139,port blair,11.6667,92.75,27.58,74,6,3.08,IN,1679447675
